"TOA5","COMPASS_GCW_TR_432","CR1000X","75736","CR1000X.8.4.0","CPU:COMPASS_v4-052425.CR1X","52317","TerosTableB"
"TIMESTAMP","RECORD","PB","Statname","BattV_Avg","TerosB(1,1)","TerosB(1,2)","TerosB(1,3)","TerosB(2,1)","TerosB(2,2)","TerosB(2,3)","TerosB(3,1)","TerosB(3,2)","TerosB(3,3)","TerosB(4,1)","TerosB(4,2)","TerosB(4,3)","TerosB(5,1)","TerosB(5,2)","TerosB(5,3)","TerosB(6,1)","TerosB(6,2)","TerosB(6,3)"
"TS","RN","","","Volts","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-11-21 13:45:00",1,432,"COMPASS_GCW_TR_432",13.61,-9999,11.2,3503,-9999,11.3,3246,3910.93,10.9,384146,-9999,11.5,2770,-9999,11.7,3208,4006.81,11.7,2783
"2025-11-21 14:00:00",2,432,"COMPASS_GCW_TR_432",13.69,-9999,11.3,3460,-9999,11.3,3380,3910.88,10.9,356662,-9999,11.5,2878,-9999,11.7,3089,4007.07,11.7,2779
"2025-11-21 14:15:00",3,432,"COMPASS_GCW_TR_432",13.69,-9999,11.3,3681,-9999,11.4,3176,3912.98,10.9,359661,-9999,11.5,2672,-9999,11.7,3169,4007.71,11.7,2673
"2025-11-21 14:30:00",4,432,"COMPASS_GCW_TR_432",13.79,-9999,11.3,3724,-9999,11.4,3139,3912.48,11,359376,-9999,11.5,2780,-9999,11.7,3087,4008.61,11.7,2689
"2025-11-21 14:45:00",5,432,"COMPASS_GCW_TR_432",13.82,-9999,11.3,3526,-9999,11.4,3277,3911.36,11,362263,-9999,11.5,2745,-9999,11.7,3149,4007.32,11.7,2743
"2025-11-21 15:00:00",6,432,"COMPASS_GCW_TR_432",13.82,-9999,11.3,3713,-9999,11.4,3178,3912.91,11,367032,-9999,11.6,2868,-9999,11.7,3075,4007.51,11.7,2688
"2025-11-21 15:15:00",7,432,"COMPASS_GCW_TR_432",13.82,-9999,11.3,3499,-9999,11.4,3273,3911.27,11,356236,-9999,11.6,2747,-9999,11.7,3290,4007.19,11.7,2701
"2025-11-21 15:30:00",8,432,"COMPASS_GCW_TR_432",13.82,-9999,11.4,3576,-9999,11.4,3204,3910.85,11,364234,-9999,11.6,2690,-9999,11.7,3076,4007.35,11.7,2791
"2025-11-21 15:45:00",9,432,"COMPASS_GCW_TR_432",13.82,-9999,11.4,3684,-9999,11.4,3169,3912.37,11,368328,-9999,11.6,2793,-9999,11.7,3044,4008.2,11.7,2832
"2025-11-21 16:00:00",10,432,"COMPASS_GCW_TR_432",13.82,-9999,11.4,3591,-9999,11.5,3244,3911.05,11,348591,-9999,11.6,2809,-9999,11.7,3069,4008.15,11.7,2634
"2025-11-21 16:15:00",11,432,"COMPASS_GCW_TR_432",13.83,-9999,11.4,3520,-9999,11.5,3130,3911.86,11,374357,-9999,11.6,2723,-9999,11.7,3023,4008.34,11.7,2689
"2025-11-21 16:30:00",12,432,"COMPASS_GCW_TR_432",13.82,-9999,11.4,3505,-9999,11.5,3214,3911.09,11,363065,-9999,11.7,2778,-9999,11.7,3013,4008.18,11.7,2743
"2025-11-21 16:45:00",13,432,"COMPASS_GCW_TR_432",13.83,-9999,11.4,3720,-9999,11.5,3240,3912.54,11.1,360160,-9999,11.7,2825,-9999,11.7,3084,4007.69,11.7,2788
"2025-11-21 17:00:00",14,432,"COMPASS_GCW_TR_432",13.82,-9999,11.4,3605,-9999,11.5,3245,3912.28,11.1,384306,-9999,11.7,2814,-9999,11.7,3138,4007.62,11.8,2659
