"TOA5","Compass_MSM_W_401","CR1000X","28727","CR1000X.8.4.0","CPU:COMPASS_v4-052425.CR1X","24960","Redox15"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-11-14 00:15:00",45,"NAN",11.94,-279.1734,-544.2484,-658.3246,-661.4866,-61.38377,-657.6907,-698.7638,-686.8414,248.9184,-702.0878,-660.3156,-682.5651,339.9494,79.39483,-31.92927,-34.92894,556.9073,-31.7395,-71.77592,-59.96801,855.2177,-75.25346,-34.03257,-55.58116
"2025-11-14 00:30:00",46,"NAN",11.93,-280.0961,-544.9557,-657.5359,-661.1661,-41.97086,-656.7985,-699.1965,-686.9568,249.8138,-702.1302,-660.0016,-682.5498,339.5001,79.83454,-30.97648,-34.51035,570.4681,-30.66352,-72.00552,-59.80899,856.6449,-74.96986,-33.4981,-55.50094
"2025-11-14 00:45:00",47,"NAN",11.94,-280.3453,-542.1646,-656.8062,-660.8574,-46.2719,-655.8229,-699.6876,-687.0513,251.1071,-702.1915,-659.7172,-682.6009,339.3102,82.06356,-30.23132,-34.08009,562.879,-29.46221,-72.23657,-59.86277,858.0292,-74.89566,-33.02067,-55.30375
"2025-11-14 01:00:00",48,"NAN",11.92,-280.2775,-540.7403,-655.9573,-660.483,-62.3004,-654.6924,-700.0356,-687.1352,252.375,-702.2095,-659.3817,-682.5784,339.9071,84.03232,-28.81615,-33.17885,550.8656,-27.95818,-72.09364,-59.34302,859.7297,-74.33834,-32.25699,-54.77005
"2025-11-14 01:15:00",49,"NAN",11.94,-280.7713,-538.6023,-655.1939,-660.1658,-37.05539,-653.7653,-700.326,-687.2401,253.5736,-702.2649,-659.1044,-682.5759,339.4899,86.31739,-27.80026,-32.57076,573.0797,-26.7911,-72.13953,-59.29126,861.1168,-74.27007,-32.0676,-54.61171
"2025-11-14 01:30:00",50,"NAN",11.92,-280.7322,-537.1638,-654.3937,-659.9023,-43.54912,-652.6585,-701.2221,-687.3594,254.8523,-702.332,-659.2269,-682.6293,340.033,88.22948,-26.63302,-31.9907,571.4815,-25.29131,-72.45416,-58.9157,862.7282,-73.91643,-31.43833,-54.10895
"2025-11-14 01:45:00",51,"NAN",11.94,-281.9364,-535.6144,-653.489,-659.5484,-49.05976,-651.5661,-701.7271,-687.5929,255.518,-702.3754,-658.9859,-682.5832,339.3454,89.50059,-25.73275,-31.69293,558.048,-24.14393,-73.05531,-59.20788,863.3431,-73.84215,-31.19146,-54.11319
"2025-11-14 02:00:00",52,"NAN",11.93,-282.5266,-535.6135,-652.6169,-659.2408,-52.03437,-651.0275,-702.1236,-687.7442,256.9995,-702.37,-658.8305,-682.5477,339.1156,89.64951,-24.57728,-31.05797,555.1938,-23.4918,-73.19275,-59.0905,864.9182,-73.56318,-30.80487,-53.92215
"2025-11-14 02:15:00",53,"NAN",11.95,-281.2415,-534.4426,-651.7792,-658.9608,-52.50792,-650.3401,-702.5358,-687.8752,258.0995,-702.3054,-658.6458,-682.6778,340.0386,91.48724,-23.642,-30.47388,562.7404,-22.49993,-73.35613,-59.11823,866.2045,-73.46641,-30.48548,-53.73777
